,high,low,open,volumefrom,volumeto,close,market_cap,progression daily,progression tomorrow,target,ema_26,ema_12,macd,rsi,relative_volume,obv,atr,bollinger_upper,bollinger_lower,k,momentum,difficulty
2011-01-26,0.42,0.3904,0.41,15564.81,6315.95,0.417,,-0.02357704215289358,0.017073170731707332,1,0.35391335297946214,0.38995083329593716,0.036037480316475023,62.07295888824551,1.471794596941072,-42827.759999999995,0.06680714285714284,0.4596949869123962,0.26314501308760374,72.41379310344826,0.023899999999999977,
2011-01-27,0.45,0.4085,0.417,27708.2,12086.9,0.4212,,0.017073170731707332,0.010071942446043147,1,0.35858643794394646,0.3941122435581007,0.03552580561415425,64.24840394660475,2.602594372088037,-30740.859999999993,0.06352857142857142,0.4638712811477545,0.27086871885224545,77.24137931034481,0.030200000000000005,
2011-01-28,0.446,0.4212,0.4212,5324.5,2301.77,0.446,,0.010071942446043147,0.058879392212725534,1,0.3632244795777282,0.39827959070300833,0.03505511112528015,64.90218642117377,0.5690499352894423,-28439.089999999993,0.05614285714285714,0.4690857014954577,0.27577429850454227,80.13793103448276,0.07170000000000004,
2011-01-29,0.446,0.43,0.446,1448.38,643.63,0.439,,0.058879392212725534,-0.015695067264574036,0,0.36935599960900756,0.40562119213331477,0.03626519252430721,57.93103448275862,0.15897266077845057,-27795.459999999992,0.052028571428571424,0.47760938349374293,0.2795606165062571,97.24137931034483,0.133,
2011-01-30,0.48,0.439,0.439,10383.59,4775.81,0.4799,,-0.015695067264574036,0.09316628701594531,1,0.3745148144527848,0.41075639334357406,0.03624157889078927,59.342988343341574,1.1074851976621036,-32571.269999999993,0.05395714285714285,0.4832897021392979,0.28548029786070206,76.57142857142858,0.126,
2011-01-31,0.95,0.47,0.4799,63516.08,32708.4,0.5501,,0.09316628701594531,0.146280475098979,1,0.3823211244933193,0.4213938712907165,0.039072746797397195,64.39839158676153,5.280419391482443,137.1300000000083,0.08532857142857142,0.4957440134291885,0.2883559865708115,27.11627906976744,0.08989999999999998,
2011-02-01,0.85,0.5201,0.5501,31562.12,23264.18,0.7077,,0.146280475098979,0.28649336484275567,1,0.394749189345666,0.4411948141690678,0.04644562482340181,78.15833801235262,3.100898379185327,23401.31000000001,0.10592142857142857,0.5239880280647539,0.2824619719352462,38.00000000000001,0.13020000000000004,
2011-02-02,0.76,0.69,0.7077,5627.48,4126.02,0.716,,0.28649336484275567,0.011728133389854456,1,0.41793073087561666,0.48219561198921124,0.06426488111359457,91.34716111460297,0.5402974408859623,27527.33000000001,0.11773571428571426,0.5987608270422431,0.24657917295775691,62.14062500000001,0.2634,
2011-02-03,0.75,0.6501,0.716,8524.5,6064.12,0.6964,,0.011728133389854456,-0.02737430167597754,0,0.44000993599594135,0.5181655178370249,0.07815558184108357,91.49505766062603,0.8003471470992467,33591.45000000001,0.11915714285714284,0.6550218134565092,0.2301581865434906,59.79381443298969,0.27359999999999995,
2011-02-04,0.88,0.67,0.6964,42222.19,33965.74,0.811,,-0.02737430167597754,0.16456059735784034,1,0.45900179258883456,0.5455862074005595,0.08658441481172496,85.77767398411957,3.4788184872667154,-374.2899999999863,0.12508571428571427,0.6969567289871043,0.2178632710128957,55.43057996485062,0.2765,
